Id,ListImpressions,DetailsViews,Conversions,ClickRate7Days,ConversionRate7Days,ConversionRate14Days
1,67,75,91,100,100,100
2,62,84,67,100,79.76,79.76
3,57,70,80,100,100,100
4,75,61,74,81.33,100,100
5,82,80,82,97.56,100,100
6,81,83,73,100,87.95,87.95
7,62,63,75,100,100,100
8,76,65,53,85.53,81.54,81.54
9,80,92,75,100,81.52,81.52
10,77,72,75,93.51,100,100
11,75,74,208,98.67,100,100
12,69,69,78,100,100,100
13,62,63,66,100,100,100
14,63,83,70,100,84.34,84.34
15,69,67,78,97.1,100,100
16,68,65,75,95.59,100,100
17,77,63,69,81.82,100,100
18,53,86,87,100,100,100
19,76,78,71,100,91.03,91.03
20,71,71,60,100,84.51,84.51
21,79,60,80,75.95,100,100
22,68,78,71,100,91.03,91.03
23,68,69,74,100,100,100
24,71,66,67,92.96,100,100
25,73,77,65,100,84.42,84.42
26,68,72,71,100,98.61,98.61
27,75,62,58,82.67,93.55,93.55
28,82,65,61,79.27,93.85,93.85
29,81,77,73,95.06,94.81,94.81
30,61,77,63,100,81.82,81.82
31,72,62,67,86.11,100,100
32,56,66,67,100,100,100
33,79,48,75,60.76,100,100
34,78,79,63,100,79.75,79.75
35,70,81,67,100,82.72,82.72
36,64,71,84,100,100,100
37,62,57,65,91.94,100,100
38,70,67,86,95.71,100,100
39,58,61,65,100,100,100
40,81,66,76,81.48,100,100
41,76,67,58,88.16,86.57,86.57
42,58,62,60,100,96.77,96.77
43,67,80,74,100,92.5,92.5
44,72,72,58,100,80.56,80.56
45,72,85,71,100,83.53,83.53
46,66,67,74,100,100,100
47,81,70,64,86.42,91.43,91.43
48,70,66,80,94.29,100,100
49,64,71,78,100,100,100
50,84,79,66,94.05,83.54,83.54
51,88,66,66,75,100,100
52,72,74,81,100,100,100
53,81,64,78,79.01,100,100
54,67,68,76,100,100,100
55,58,69,75,100,100,100
56,71,59,84,83.1,100,100
57,76,56,71,73.68,100,100
58,74,72,73,97.3,100,100
59,80,59,68,73.75,100,100
60,70,64,62,91.43,96.88,96.88
61,62,77,73,100,94.81,94.81
62,85,75,89,88.24,100,100
63,85,78,63,91.76,80.77,80.77
64,75,72,68,96,94.44,94.44
65,63,60,85,95.24,100,100
66,80,69,78,86.25,100,100
67,65,70,73,100,100,100
68,62,81,74,100,91.36,91.36
69,75,63,72,84,100,100
70,77,72,67,93.51,93.06,93.06
71,68,72,63,100,87.5,87.5
72,72,70,83,97.22,100,100
73,63,65,66,100,100,100
74,73,82,76,100,92.68,92.68
75,81,64,70,79.01,100,100
76,78,59,93,75.64,100,100
77,68,70,83,100,100,100
78,74,92,72,100,78.26,78.26
79,69,61,69,88.41,100,100
80,78,61,68,78.21,100,100
81,78,74,71,94.87,95.95,95.95
82,65,68,83,100,100,100
83,62,72,74,100,100,100
84,74,70,64,94.59,91.43,91.43
85,76,65,66,85.53,100,100
86,77,74,65,96.1,87.84,87.84
87,78,74,69,94.87,93.24,93.24
88,69,74,69,100,93.24,93.24
89,82,57,61,69.51,100,100
90,60,78,77,100,98.72,98.72
91,63,71,85,100,100,100
92,62,75,75,100,100,100
93,67,53,64,79.1,100,100
94,77,68,68,88.31,100,100
95,66,73,84,100,100,100
96,68,74,78,100,100,100
97,83,72,69,86.75,95.83,95.83
98,61,82,75,100,91.46,91.46
99,81,65,75,80.25,100,100
100,53,68,76,100,100,100
101,74,73,58,98.65,79.45,79.45
102,80,76,61,95,80.26,80.26
103,68,69,62,100,89.86,89.86
104,63,73,89,100,100,100
105,59,82,67,100,81.71,81.71
106,71,74,72,100,97.3,97.3
107,81,74,61,91.36,82.43,82.43
108,70,64,63,91.43,98.44,98.44
109,59,69,69,100,100,100
110,78,64,79,82.05,100,100
111,69,67,66,97.1,98.51,98.51
112,68,76,88,100,100,100
113,58,82,62,100,75.61,75.61
114,79,77,68,97.47,88.31,88.31
115,74,53,81,71.62,100,100
116,70,60,65,85.71,100,100
117,92,73,73,79.35,100,100
118,78,76,63,97.44,82.89,82.89
119,76,67,72,88.16,100,100
120,68,74,78,100,100,100
121,61,74,72,100,97.3,97.3
122,78,79,72,100,91.14,91.14
123,72,58,57,80.56,98.28,98.28
124,96,65,75,67.71,100,100
125,75,72,74,96,100,100
126,70,61,56,87.14,91.8,91.8
127,81,60,78,74.07,100,100
128,85,71,67,83.53,94.37,94.37
129,65,71,77,100,100,100
130,60,78,91,100,100,100
131,83,73,89,87.95,100,100
132,71,70,85,98.59,100,100
133,63,71,68,100,95.77,95.77
134,60,71,69,100,97.18,97.18
135,83,67,68,80.72,100,100
136,74,63,71,85.14,100,100
137,76,47,85,61.84,100,100
138,82,69,64,84.15,92.75,92.75
139,82,75,60,91.46,80,80
140,79,81,54,100,66.67,66.67
141,80,61,63,76.25,100,100
142,74,80,63,100,78.75,78.75
143,91,66,76,72.53,100,100
144,66,74,75,100,100,100
145,70,62,58,88.57,93.55,93.55
146,71,63,72,88.73,100,100
147,68,68,65,100,95.59,95.59
148,66,54,77,81.82,100,100
149,72,66,72,91.67,100,100
150,80,68,62,85,91.18,91.18
151,63,75,74,100,98.67,98.67
152,79,75,57,94.94,76,76
153,68,77,48,100,62.34,62.34
154,64,61,70,95.31,100,100
155,68,71,64,100,90.14,90.14
156,71,56,57,78.87,100,100
157,70,74,77,100,100,100
158,70,55,64,78.57,100,100
159,81,63,75,77.78,100,100
160,79,74,71,93.67,95.95,95.95
161,69,65,76,94.2,100,100
162,69,69,73,100,100,100
163,79,75,83,94.94,100,100
164,81,81,79,100,97.53,97.53
165,80,60,86,75,100,100
166,83,78,73,93.98,93.59,93.59
167,86,73,71,84.88,97.26,97.26
168,64,65,87,100,100,100
169,67,56,89,83.58,100,100
170,71,71,63,100,88.73,88.73
171,75,71,86,94.67,100,100
172,80,58,62,72.5,100,100
173,77,68,65,88.31,95.59,95.59
174,85,63,71,74.12,100,100
175,74,62,78,83.78,100,100
176,61,71,74,100,100,100
177,70,69,73,98.57,100,100
178,76,57,61,75,100,100
179,67,71,69,100,97.18,97.18
180,62,70,44,100,62.86,62.86
181,66,67,70,100,100,100
182,61,66,70,100,100,100
183,78,64,71,82.05,100,100
184,64,61,77,95.31,100,100
185,80,86,68,100,79.07,79.07
186,73,74,84,100,100,100
187,68,67,79,98.53,100,100
188,77,62,75,80.52,100,100
189,72,68,78,94.44,100,100
190,62,73,65,100,89.04,89.04
191,59,63,57,100,90.48,90.48
192,81,86,79,100,91.86,91.86
193,63,71,72,100,100,100
194,67,77,58,100,75.32,75.32
195,75,77,65,100,84.42,84.42
196,52,77,72,100,93.51,93.51
197,65,70,75,100,100,100
198,84,59,62,70.24,100,100
199,57,67,70,100,100,100
200,72,74,68,100,91.89,91.89
201,78,62,83,79.49,100,100
202,84,68,56,80.95,82.35,82.35
203,75,80,77,100,96.25,96.25
204,72,81,59,100,72.84,72.84
205,77,77,64,100,83.12,83.12
206,94,59,75,62.77,100,100
207,70,73,69,100,94.52,94.52
208,81,77,70,95.06,90.91,90.91
209,62,76,70,100,92.11,92.11
210,78,76,69,97.44,90.79,90.79
211,74,61,70,82.43,100,100
